City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bardiyah,31.7561,25.0865,81.12,51,2,14.74,LY,2022-09-29 05:04:14
1,Liverpool,53.4106,-2.9779,51.75,90,82,11.5,GB,2022-09-29 05:00:21
2,Punta Arenas,-53.15,-70.9167,44.71,76,40,18.41,CL,2022-09-29 04:55:48
3,Bluff,-46.6,168.3333,45.95,66,96,16.98,NZ,2022-09-29 04:57:40
4,Clyde River,70.4692,-68.5914,22.69,77,31,6.04,CA,2022-09-29 05:04:15
5,Rikitea,-23.1203,-134.9692,73.0,62,51,15.01,PF,2022-09-29 04:55:43
6,Butaritari,3.0707,172.7902,81.86,76,47,11.14,KI,2022-09-29 05:04:16
7,Bonavista,48.6499,-53.1147,58.28,98,100,8.95,CA,2022-09-29 05:04:16
8,Mnogovershinnyy,53.9353,139.9242,40.23,52,8,19.48,RU,2022-09-29 05:04:17
9,Padang,-0.9492,100.3543,82.45,73,100,7.02,ID,2022-09-29 05:00:29
10,Qaanaaq,77.484,-69.3632,23.31,94,100,8.9,GL,2022-09-29 04:55:47
11,Victoria,22.2855,114.1577,91.18,87,100,11.01,HK,2022-09-29 05:03:00
12,Leningradskiy,69.3833,178.4167,21.2,81,26,3.38,RU,2022-09-29 05:04:17
13,Zhuhai,22.2769,113.5678,82.11,83,40,13.8,CN,2022-09-29 05:04:18
14,San Luis Rio Colorado,32.4631,-114.7767,88.9,54,2,8.99,MX,2022-09-29 05:04:18
15,Avarua,-21.2078,-159.775,77.05,88,75,14.97,CK,2022-09-29 05:04:18
16,Upernavik,72.7868,-56.1549,29.01,84,98,10.67,GL,2022-09-29 05:04:19
17,Yellowknife,62.456,-114.3525,33.57,80,16,5.01,CA,2022-09-29 05:03:41
18,Mataura,-46.1927,168.8643,41.68,98,100,5.86,NZ,2022-09-29 05:03:46
19,Cairns,-16.9167,145.7667,87.12,48,100,11.5,AU,2022-09-29 05:04:19
20,Ushuaia,-54.8,-68.3,38.68,92,99,6.31,AR,2022-09-29 04:53:58
21,Bairiki,1.3292,172.9752,84.2,84,20,9.22,KI,2022-09-29 05:04:20
22,Hilo,19.7297,-155.09,80.28,83,40,4.61,US,2022-09-29 05:04:20
23,Busselton,-33.65,115.3333,74.23,45,0,6.96,AU,2022-09-29 05:04:21
24,Khatanga,71.9667,102.5,30.65,97,100,11.54,RU,2022-09-29 04:57:43
25,Lagoa,39.05,-27.9833,67.42,63,8,10.63,PT,2022-09-29 05:04:21
26,Nikolskoye,59.7035,30.7861,42.69,96,100,5.84,RU,2022-09-29 05:04:21
27,Hithadhoo,-0.6,73.0833,81.32,74,51,8.28,MV,2022-09-29 05:04:22
28,Georgetown,5.4112,100.3354,89.53,66,20,6.91,MY,2022-09-29 05:04:22
29,Alghero,40.5589,8.3181,60.89,94,20,4.61,IT,2022-09-29 05:03:09
30,La Ronge,55.1001,-105.2842,57.07,63,1,3.22,CA,2022-09-29 05:04:22
31,Bougouni,11.417,-7.479,71.13,95,65,3.36,ML,2022-09-29 05:04:23
32,Kavaratti,10.5669,72.642,81.41,73,77,11.95,IN,2022-09-29 04:55:47
33,Nanortalik,60.1432,-45.2371,41.29,96,100,5.93,GL,2022-09-29 05:04:23
34,Port Macquarie,-31.4333,152.9167,71.89,71,32,16.37,AU,2022-09-29 05:04:24
35,Margate,51.3813,1.3862,53.51,65,97,6.4,GB,2022-09-29 05:04:24
36,Korla,41.7597,86.1469,74.41,25,30,16.67,CN,2022-09-29 05:00:29
37,Teseney,15.11,36.6575,80.96,61,30,8.79,ER,2022-09-29 05:04:24
38,Georgiyevka,43.0369,74.7114,53.64,47,40,6.71,KZ,2022-09-29 05:04:25
39,Hobart,-42.8794,147.3294,54.05,69,75,10.36,AU,2022-09-29 04:57:40
40,Cape Town,-33.9258,18.4232,60.91,78,0,5.01,ZA,2022-09-29 04:53:31
41,Morro Bay,35.3658,-120.8499,74.41,26,25,4.74,US,2022-09-29 05:04:26
42,Luderitz,-26.6481,15.1594,56.32,74,2,9.24,NA,2022-09-29 05:04:27
43,Port Alfred,-33.5906,26.891,60.19,94,97,7.25,ZA,2022-09-29 05:04:27
44,Shahrud,36.4182,54.9763,79.97,14,0,6.4,IR,2022-09-29 05:04:27
45,Hermanus,-34.4187,19.2345,54.81,79,100,9.64,ZA,2022-09-29 04:57:39
46,Tanout,14.9709,8.8879,81.27,56,65,11.23,NE,2022-09-29 05:04:28
47,Esperance,-33.8667,121.9,67.68,57,5,15.17,AU,2022-09-29 05:05:28
48,Bafq,31.6128,55.4107,83.3,11,0,3.06,IR,2022-09-29 05:05:29
49,Les Cayes,18.2,-73.75,78.01,85,36,3.15,HT,2022-09-29 05:05:29
50,Ancud,-41.8697,-73.8203,44.53,91,10,2.04,CL,2022-09-29 05:05:29
51,Tiarei,-17.5333,-149.3333,78.82,73,3,13.22,PF,2022-09-29 05:05:30
52,Port-Cartier,50.0334,-66.8654,48.74,84,49,12.19,CA,2022-09-29 05:05:30
53,Tiksi,71.6872,128.8694,24.62,88,100,4.29,RU,2022-09-29 05:05:30
54,Clacton-On-Sea,51.7897,1.156,43.02,91,85,5.32,GB,2022-09-29 05:05:31
